PAÍS;DPT_ID;DEPARTAMENTO;MPO_ID;MUNICIPIO;INSCRITOS_MUJER;INSCRITOS_HOMBRE;INSCRITOS_JOVENES_MUJER;INSCRITOS_JOVENES_HOMBRE;INSCRITOS_PCD_MUJER;INSCRITOS_PCD_HOMBRE;INSCRITOS_RUV_MUJER;INSCRITOS_RUV_HOMBRE;ORIENTADOS_MUJER_IND;ORIENTADOS_MUJER_GRU;ORIENTADOS_HOMBRE_IND;ORIENTADOS_HOMBRE_GRU;ORIENTADOS_JOVENES_MUJER_IND;ORIENTADOS_JOVENES_MUJER_GRU;ORIENTADOS_JOVENES_HOMBRE_IND;ORIENTADOS_JOVENES_HOMBRE_GRU;ORIENTADOS_PCD_MUJER_IND;ORIENTADOS_PCD_MUJER_GRU;ORIENTADOS_PCD_HOMBRE_IND;ORIENTADOS_PCD_HOMBRE_GRU;ORIENTADOS_RUV_MUJER_IND;ORIENTADOS_RUV_MUJER_GRU;ORIENTADOS_RUV_HOMBRE_IND;ORIENTADOS_RUV_HOMBRE_GRU;COLOCACIONES_MUJER;COLOCACIONES_HOMBRE;COLOCACIONES_JOVENES_MUJER;COLOCACIONES_JOVENES_HOMBRE;COLOCACIONES_PCD_MUJER;COLOCACIONES_PCD_HOMBRE;COLOCACIONES_RUV_MUJER;COLOCACIONES_RUV_HOMBRE;POSTULACIONES_MUJER_ASISTIDA;POSTULACIONES_MUJER_AUTO;POSTULACIONES_HOMBRE_ASISTIDA;POSTULACIONES_HOMBRE_AUTO;POSTS_JOVENES_MUJER_ASISTIDA;POSTS_JOVENES_HOMBRE_ASISTIDA;POSTS_JOVENES_MUJER_AUTO;POSTS_JOVENES_HOMBRE_AUTO;POSTS_PCD_MUJER_ASISTIDA;POSTS_PCD_MUJER_AUTO;POSTS_PCD_HOMBRE_ASISTIDA;POSTS_PCD_HOMBRE_AUTO;POSTS_RUV_MUJER_ASISTIDA;POSTS_RUV_MUJER_AUTO;POSTS_RUV_HOMBRE_ASISTIDA;POSTS_RUV_HOMBRE_AUTO;EMPRESAS;SOLICITUDES;VACANTES
57;57005;Antioquia;57005001;Medellín;3353;2954;1288;1274;13;19;616;452;3470;346;3067;309;1500;143;1371;126;31;1;38;4;722;105;554;61;2001;1906;874;922;15;19;496;334;3170;3256;2842;6129;1215;1195;906;1204;65;48;123;143;956;654;793;968;214;2224;5569
57;57005;Antioquia;57005002;Abejorral;19;12;12;6;0;0;11;7;21;2;13;0;14;2;7;0;0;0;0;0;13;2;7;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;2;0;0;0;0;0;1;2;0;0;3;0;0
57;57005;Antioquia;57005004;Abriaquí;1;3;1;3;0;0;1;2;1;0;3;0;1;0;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
57;57005;Antioquia;57005021;Alejandría;7;1;3;1;0;0;6;1;7;0;1;1;3;0;1;1;0;0;0;0;6;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
57;57005;Antioquia;57005030;Amagá;16;7;5;2;0;0;2;2;16;0;12;0;5;0;2;0;0;0;0;0;1;0;3;0;1;2;1;0;0;0;0;0;7;3;31;10;3;3;0;0;0;0;0;0;0;0;19;0;1;4;4
57;57005;Antioquia;57005031;Amalfi;30;20;8;4;0;0;7;3;32;0;26;1;14;0;9;0;0;0;0;0;11;0;10;1;21;8;3;3;0;0;5;2;9;0;6;4;2;6;0;0;0;0;0;0;4;0;3;0;0;9;33
57;57005;Antioquia;57005034;Andes;10;11;3;6;0;0;1;1;11;0;11;0;4;0;6;0;0;0;0;0;2;0;1;0;0;2;0;2;0;0;0;0;6;0;2;1;1;1;0;0;0;0;0;0;3;0;0;0;0;3;3
57;57005;Antioquia;57005036;Angelopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
57;57005;Antioquia;57005038;Angostura;6;6;3;1;0;0;1;1;6;5;6;0;3;2;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;57005;Antioquia;57005040;Anori;19;12;2;6;1;0;7;5;29;0;20;0;12;0;14;0;1;0;0;0;21;0;14;0;9;4;2;2;0;0;1;3;4;0;3;2;0;2;0;0;0;0;0;0;1;0;2;0;0;2;13
;;;;;3461;3026;1325;1303;14;19;652;474;3593;353;3159;311;1556;147;1414;127;32;1;38;4;778;108;593;63;2032;1923;880;930;15;19;502;340;3197;3261;2891;6146;1221;1211;908;1204;65;48;123;143;965;656;819;968;219;2243;5623
